10/18 1:00 ET,Cincinnati,-3,At Buffalo,42,2015,6
10/18 1:00 ET,At Minnesota,-3.5,Kansas City,43,2015,6
10/18 1:00 ET,At Jacksonville,-3,Houston,43,2015,6
10/18 1:00 ET,At Detroit,-3.5,Chicago,45.5,2015,6
10/18 1:00 ET,At NY Jets,-7.5,Washington,40,2015,6
10/18 1:00 ET,Arizona,-5.5,At Pittsburgh,45,2015,6
10/18 1:00 ET,At Tennessee,-2.5,Miami,43.5,2015,6
10/18 4:05 ET,At Seattle,-7,Carolina,41,2015,6
10/18 4:25 ET,At Green Bay,-10.5,San Diego,50.5,2015,6
10/18 4:25 ET,Baltimore,-2.5,At San Francisco,43.5,2015,6
10/18 8:30 ET,New England,-9,At Indianapolis,54,2015,6
10/19 8:30 ET,At Philadelphia,-3.5,NY Giants,50.5,2015,6
10/22 8:25 ET,Seattle,-6.5,At San Francisco,42,2015,7
10/25 9:30 AM,Buffalo,-3.5,"Jacksonville
(at London)",41.5,2015,7
10/25 1:00 ET,At St. Louis,-6,Cleveland,44,2015,7
10/25 1:00 ET,At Kansas City,-3.5,Pittsburgh,41.5,2015,7
10/25 1:00 ET,At Miami,-4.5,Houston,45.5,2015,7
10/25 1:00 ET,At New England,-7,NY Jets,47.5,2015,7
10/25 1:00 ET,At Detroit,-1,Minnesota,45,2015,7
10/25 1:00 ET,Atlanta,-6,At Tennessee,45.5,2015,7
10/25 1:00 ET,At Washington,-3,Tampa Bay,41.5,2015,7
10/25 1:00 ET,At Indianapolis,-5,New Orleans,53,2015,7
10/25 4:05 ET,At San Diego,-3.5,Oakland,48.5,2015,7
10/25 4:25 ET,At NY Giants,-3,Dallas,44.5,2015,7
10/25 8:30 ET,At Carolina,-2.5,Philadelphia,46,2015,7
10/26 8:30 ET,At Arizona,-10,Baltimore,49.5,2015,7
10/29 8:25 ET,At New England,-8,Miami,51.5,2015,8
11/1 9:30 AM,At Kansas City,-3,Detroit,45,2015,8
11/1 1:00 ET,Minnesota,-1.5,At Chicago,44,2015,8
11/1 1:00 ET,At Atlanta,-8,Tampa Bay,47.5,2015,8
11/1 1:00 ET,At New Orleans,-3,NY Giants,52,2015,8
11/1 1:00 ET,At St. Louis,-8,San Francisco,41,2015,8
11/1 1:00 ET,Arizona,-7,At Cleveland,46,2015,8
11/1 1:00 ET,At Pittsburgh,PK,Cincinnati,49.5,2015,8
11/1 1:00 ET,At Baltimore,-4.5,San Diego,50.5,2015,8
11/1 1:00 ET,At Houston,-3.5,Tennessee,43,2015,8
11/1 4:05 ET,NY Jets,-3,At Oakland,44,2015,8
11/1 4:25 ET,Seattle,-5,At Dallas,41.5,2015,8
11/1 8:30 ET,Green Bay,-2.5,At Denver,45.5,2015,8
11/2 8:30 ET,At Carolina,-5.5,Indianapolis,45.5,2015,8
11/5 8:25 ET,At Cincinnati,-13,Cleveland,46,2015,9
11/8 1:00 ET,At Pittsburgh,-6,Oakland,48,2015,9
11/8 1:00 ET,At NY Jets,-8,Jacksonville,42.5,2015,9
11/8 1:00 ET,At Minnesota,-1,St. Louis,40,2015,9
11/8 1:00 ET,At Buffalo,-4,Miami,44,2015,9
11/8 1:00 ET,At New Orleans,-6.5,Tennessee,50,2015,9
11/8 1:00 ET,At New England,-13.5,Washington,51.5,2015,9
11/8 1:00 ET,Green Bay,-2.5,At Carolina,46,2015,9
11/8 4:05 ET,Atlanta,-8.5,At San Francisco,43.5,2015,9
11/8 4:05 ET,NY Giants,-2,At Tampa Bay,49,2015,9
11/8 4:25 ET,Denver,-3.5,At Indianapolis,45.5,2015,9
11/8 8:30 ET,Philadelphia,-3,At Dallas,44,2015,9
11/9 8:30 ET,At San Diego,-3.5,Chicago,49.5,2015,9
11/12 8:25 ET,At NY Jets,-2.5,Buffalo,42,2015,10
11/15 1:00 ET,At Green Bay,-10.5,Detroit,50,2015,10
11/15 1:00 ET,Dallas,-1,At Tampa Bay,43.5,2015,10
11/15 1:00 ET,Carolina,-3.5,At Tennessee,43,2015,10
11/15 1:00 ET,At St. Louis,-7,Chicago,42.5,2015,10
11/15 1:00 ET,New Orleans,-1,At Washington,52,2015,10
11/15 1:00 ET,At Philadelphia,-6,Miami,49.5,2015,10
11/15 1:00 ET,At Pittsburgh,-7,Cleveland,43,2015,10
11/15 1:00 ET,At Baltimore,-5,Jacksonville,47,2015,10
11/15 4:05 ET,At Oakland,-3,Minnesota,44,2015,10
11/15 4:25 ET,At Denver,-3.5,Kansas City,42,2015,10
11/15 4:25 ET,New England,-7,At NY Giants,52.5,2015,10
11/15 8:30 ET,At Seattle,-3,Arizona,43.5,2015,10
11/16 8:30 ET,At Cincinnati,-10,Houston,46.5,2015,10
11/19 8:25 ET,At Jacksonville,-3,Tennessee,41.5,2015,11
11/22 1:00 ET,At Carolina,-7,Washington,44.5,2015,11
11/22 1:00 ET,Oakland,-1.5,At Detroit,50,2015,11
11/22 1:00 ET,Dallas,-2,At Miami,45,2015,11
11/22 1:00 ET,At Atlanta,-3.5,Indianapolis,47.5,2015,11
11/22 1:00 ET,At Baltimore,-3,St. Louis,41.5,2015,11
11/22 1:00 ET,NY Jets,-4,At Houston,40,2015,11
11/22 4:25 ET,At Minnesota,PK,Green Bay,45,2015,11
11/22 1:00 ET,At Philadelphia,-6.5,Tampa Bay,45.5,2015,11
11/22 1:00 ET,Denver,-2,At Chicago,41.5,2015,11
11/22 8:30 ET,At Arizona,-4,Cincinnati,48,2015,11
11/22 4:25 ET,At Seattle,-14,San Francisco,40,2015,11
11/22 4:05 ET,Kansas City,-3,At San Diego,45.5,2015,11
11/23 8:30 ET,At New England,-7,Buffalo,47.5,2015,11
11/26 12:30 ET,At Detroit,-3,Philadelphia,47,2015,12
11/26 4:30 ET,Carolina,-1,At Dallas,44.5,2015,12
11/26 8:30 ET,At Green Bay,-8,Chicago,45,2015,12
11/29 1:00 ET,At Houston,-3.5,New Orleans,51,2015,12
11/29 1:00 ET,At Atlanta,-2,Minnesota,45,2015,12
11/29 1:00 ET,At Cincinnati,-9.5,St. Louis,42,2015,12
11/29 1:00 ET,At Indianapolis,-3,Tampa Bay,46.5,2015,12
11/29 1:00 ET,NY Giants,-1.5,At Washington,48,2015,12
11/29 1:00 ET,Oakland,-1,At Tennessee,45,2015,12
11/29 1:00 ET,At Kansas City,-4.5,Buffalo,41,2015,12
11/29 1:00 ET,At NY Jets,-4.5,Miami,43.5,2015,12
11/29 1:00 ET,At Jacksonville,-5,San Diego,47,2015,12
11/29 4:05 ET,Arizona,-8.5,At San Francisco,45,2015,12
11/29 4:25 ET,At Seattle,-3,Pittsburgh,46.5,2015,12
11/29 8:30 ET,New England,-2.5,At Denver,43,2015,12
11/30 8:30 ET,At Cleveland,-6,Baltimore,41,2015,12
12/3 8:25 ET,Green Bay,-2.5,At Detroit,46.5,2015,13
12/6 1:00 ET,At Chicago,-6.5,San Francisco,43,2015,13
12/6 1:00 ET,Cincinnati,-7.5,At Cleveland,44,2015,13
12/6 1:00 ET,At Tennessee,-3,Jacksonville,43.5,2015,13
12/6 1:00 ET,At Buffalo,-3,Houston,42,2015,13
12/6 1:00 ET,At Miami,-3.5,Baltimore,43,2015,13
12/6 4:25 ET,Carolina,-6,At New Orleans,50.5,2015,13
12/6 1:00 ET,Seattle,-2.5,At Minnesota,43,2015,13
12/6 1:00 ET,Arizona,-3.5,At St. Louis,43,2015,13
12/6 1:00 ET,At Tampa Bay,PK,Atlanta,46.5,2015,13
12/6 1:00 ET,NY Jets,-2.5,At NY Giants,46,2015,13
12/6 4:05 ET,Denver,-6,At San Diego,45,2015,13
12/6 4:05 ET,Kansas City,-3,At Oakland,45.5,2015,13
12/6 4:25 ET,At New England,-9.5,Philadelphia,49,2015,13
12/6 8:30 ET,At Pittsburgh,-9.5,Indianapolis,50.5,2015,13
12/7 8:30 ET,At Washington,-2,Dallas,43.5,2015,13
12/10 8:25 ET,At Arizona,-10,Minnesota,46.5,2015,14
12/13 1:00 ET,At Cincinnati,-1,Pittsburgh,48.5,2015,14
12/13 1:00 ET,At Philadelphia,-1,Buffalo,48.5,2015,14
12/13 1:00 ET,At Carolina,-8.5,Atlanta,45.5,2015,14
12/13 1:00 ET,At Cleveland,-2.5,San Francisco,43,2015,14
12/13 1:00 ET,At Chicago,-4,Washington,43.5,2015,14
12/13 1:00 ET,Detroit,-3,At St. Louis,41.5,2015,14
12/13 1:00 ET,At Kansas City,-12,San Diego,41.5,2015,14
12/13 1:00 ET,At Tampa Bay,-6,New Orleans,51.5,2015,14
12/13 1:00 ET,At Jacksonville,-1,Indianapolis,46,2015,14
12/13 1:00 ET,At NY Jets,-8,Tennessee,43,2015,14
12/13 8:30 ET,New England,-5,At Houston,46.5,2015,14
12/13 4:05 ET,At Denver,-6,Oakland,43,2015,14
12/13 4:25 ET,At Green Bay,-6.5,Dallas,42.5,2015,14
12/13 1:00 ET,Seattle,-10.5,At Baltimore,42,2015,14
12/14 8:30 ET,NY Giants,-2,At Miami,48,2015,14
12/17 8:25 ET,At St. Louis,-1,Tampa Bay,41,2015,15
12/19 8:25 ET,NY Jets,-3.5,At Dallas,41,2015,15
12/20 1:00 ET,At Minnesota,-4,Chicago,44,2015,15
12/20 1:00 ET,At Jacksonville,-2,Atlanta,48,2015,15
12/20 1:00 ET,At Indianapolis,-2,Houston,41.5,2015,15
12/20 1:00 ET,Kansas City,-6.5,At Baltimore,41,2015,15
12/20 1:00 ET,Buffalo,-2,At Washington,46,2015,15
12/20 1:00 ET,At New England,-14.5,Tennessee,48,2015,15
12/20 8:30 ET,Arizona,-4,At Philadelphia,51.5,2015,15
12/20 1:00 ET,Carolina,-5,At NY Giants,46.5,2015,15
12/20 4:05 ET,At Seattle,-14.5,Cleveland,45.5,2015,15
12/20 4:05 ET,Green Bay,-4,At Oakland,47,2015,15
12/20 4:25 ET,At San Diego,-1,Miami,47,2015,15
12/20 4:25 ET,At Pittsburgh,-7.5,Denver,45.5,2015,15
12/20 4:25 ET,Cincinnati,-6.5,At San Francisco,41,2015,15
12/21 8:30 ET,At New Orleans,-2.5,Detroit,52,2015,15
12/24 8:25 ET,At Oakland,-4,San Diego,45.5,2015,16
12/26 8:25 ET,At Philadelphia,-3.5,Washington,48.5,2015,16
12/27 8:30 ET,At Minnesota,-7,NY Giants,44.5,2015,16
12/27 1:00 ET,At Tampa Bay,-3,Chicago,44,2015,16
12/27 1:00 ET,Carolina,-7,At Atlanta,46,2015,16
12/27 1:00 ET,At Buffalo,-6.5,Dallas,42.5,2015,16
12/27 4:05 ET,At New Orleans,-2.5,Jacksonville,53.5,2015,16
12/27 1:00 ET,At Detroit,-9,San Francisco,42.5,2015,16
